,tconst,title,runtime_minutes,genres,averagerating,numvotes,release_date,studio,domestic_gross,foreign_gross
287,tt0850709,Risen,121.0,"Biography,Drama",5.3,182.0,2016-02-18,Sony,36900000.0,9200000
291,tt0857190,The Sweeney,112.0,"Action,Crime,Drama",6.1,18095.0,2013-03-01,EOne,26700.0,6300000
294,tt0860907,Evangelion: 3.0 You Can (Not) Redo,96.0,"Action,Animation,Drama",7.0,8215.0,2014-01-10,Elev.,175000.0,60300000
295,tt0864835,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277.0,2014-03-07,Fox,111500000.0,164200000
298,tt0872230,My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381.0,2010-10-08,Uni.,14700000.0,6200000
305,tt0878835,Please Give,87.0,"Comedy,Drama",6.6,10652.0,2010-01-22,SPC,4000000.0,280000
310,tt0879870,Eat Pray Love,133.0,"Drama,Romance",5.8,77709.0,2010-08-12,Sony,80600000.0,124000000
311,tt0881320,Sanctum,108.0,"Adventure,Drama,Thriller",5.9,51318.0,2011-02-04,Uni.,23200000.0,85400000
315,tt0884726,Legends of Oz: Dorothy's Return,88.0,"Adventure,Animation,Family",5.5,5351.0,2014-05-09,CE,8500000.0,10200000
316,tt0884732,The Wedding Ringer,101.0,Comedy,6.7,66893.0,2015-01-16,SGem,64500000.0,15300000
318,tt0889573,The Switch,101.0,"Comedy,Drama,Romance",6.1,90661.0,2010-08-20,Mira.,27800000.0,22100000
319,tt0892318,Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137.0,2010-05-14,Sum.,53000000.0,26100000
320,tt0892769,How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299.0,2010-03-26,P/DW,217600000.0,277300000
321,tt0892791,Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532.0,2010-05-16,P/DW,238700000.0,513900000
322,tt0893412,From Prada to Nada,107.0,"Comedy,Drama,Romance",5.6,13644.0,2011-01-28,LGF,3000000.0,123000
330,tt0903624,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629.0,2012-12-14,WB (NL),303000000.0,718100000
331,tt0903657,Love & Mercy,121.0,"Biography,Drama,Music",7.4,32238.0,2015-06-05,RAtt.,12600000.0,16100000
350,tt0918940,The Legend of Tarzan,110.0,"Action,Adventure,Drama",6.3,150154.0,2016-07-01,WB,126600000.0,230100000
356,tt0935075,Rabbit Hole,91.0,Drama,7.0,45357.0,2010-12-16,LGF,2200000.0,2900000
358,tt0938283,The Last Airbender,103.0,"Action,Adventure,Family",4.1,137734.0,2010-07-01,Par.,131800000.0,187900000
362,tt0944835,Salt,100.0,"Action,Mystery,Thriller",6.4,277204.0,2010-07-23,Sony,118300000.0,175200000
364,tt0945513,Source Code,93.0,"Action,Drama,Sci-Fi",7.5,452036.0,2011-04-01,Sum.,54700000.0,92600000
365,tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854.0,2010-12-03,FoxS,107000000.0,222400000
